,degree,cc
41081212,88,1.0
128034692,88,1.0
220757388,88,1.0
231170959,88,1.0
144318352,88,1.0
44449682,88,1.0
192589715,88,1.0
233770901,96,0.8456140350877193
49891742,88,1.0
198331815,88,1.0
212544424,88,1.0
186565546,88,1.0
209759658,88,1.0
206603702,527,0.7276931623869958
189139900,88,1.0
183439318,88,1.0
192826336,88,1.0
198802912,88,1.0
225017316,88,1.0
148361702,88,1.0
32520682,88,1.0
215422451,88,1.0
229446139,88,1.0
234360831,88,1.0
182943766,52,1.0
4278530,549,0.36166620132158006
228303620,206,0.7272081458678664
215245573,52,1.0
223617033,52,1.0
217510929,52,1.0
7305493,52,1.0
32809502,1011,0.2983008686625339
215170597,166,0.5732018985031033
227210790,173,0.6810055114934803
225501228,52,1.0
223055408,945,0.3862927091740651
229498167,52,1.0
211597628,275,0.693828798938288
184991548,960,0.34841414668057
150449212,52,1.0
215552322,52,1.0
223293250,52,1.0
211057221,709,0.5064864175691074
150902602,834,0.29245079326694706
186374987,52,1.0
77062222,1099,0.301769616690782
226704978,52,1.0
178169942,102,0.5228111046398758
203468630,693,0.5053966585758494
234205531,52,1.0
11205213,638,0.3353690644331038
193777510,486,0.44527597471469177
7377000,52,1.0
2807913,623,0.3955551655974359
9561451,757,0.3922997351002635
223389804,189,0.5807722616233254
30687102,52,1.0
208813186,623,0.5634028892455859
108297612,52,1.0
186008461,690,0.3314276098525483
203857825,52,1.0
125908132,646,0.5471428228574171
130333862,113,0.5273388116308471
216144561,309,0.7326944899760434
12650422,206,0.7272081458678664
147275192,52,1.0
196470471,52,1.0
223530441,52,1.0
34585292,764,0.2897765090954005
218877394,214,0.6228335746566627
226052576,238,0.44658369676984716
214683367,335,0.45119313611582806
207274472,693,0.5053966585758494
183109097,635,0.5647681263816786
9167857,184,0.6101805654549775
156342002,190,0.42873851294903925
63998462,592,0.2386701422234417
216072216,137,1.0
8731661,1064,0.3012505393304522
10865691,158,0.7688462468757559
79171612,137,1.0
222840882,254,0.5237620989075971
223455283,137,1.0
229310518,137,1.0
